"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Sep 02 05:47:21 GMT 2024","Mon Sep 02 05:48:34 GMT 2024","73428","","Website Navigation","","","","Verify Home Menu Navigation Item and Components",""
"failed","Mon Sep 02 06:20:17 GMT 2024","Mon Sep 02 06:21:41 GMT 2024","83797","","Weather Shopper Website","","","","No Shopping Action Required in Moderate Weather",""
"failed","Mon Sep 02 06:12:09 GMT 2024","Mon Sep 02 06:13:32 GMT 2024","83021","","Weather Shopper Website","","","","Shopping for Sunscreens in Hot Weather",""
"failed","Mon Sep 02 05:55:14 GMT 2024","Mon Sep 02 05:55:20 GMT 2024","5898","","Website Navigation","","","","Check Body section is loaded correctly",""
"failed","Mon Sep 02 06:03:50 GMT 2024","Mon Sep 02 06:05:12 GMT 2024","82482","","Weather Shopper Website","","","","Shopping for Moisturizers in Cold Weather",""
"failed","Mon Sep 02 05:54:03 GMT 2024","Mon Sep 02 05:55:08 GMT 2024","65475","","Website Navigation","","","","Check Footer section is loaded correctly",""
