"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Dec 23 20:33:34 GMT 2023","Sat Dec 23 20:34:50 GMT 2023","75338","","Weather Shopper Website","","","","Shopping for Moisturizers in Cold Weather",""
"failed","Sat Dec 23 20:35:54 GMT 2023","Sat Dec 23 20:37:08 GMT 2023","74253","","Weather Shopper Website","","","","Shopping for Sunscreens in Hot Weather",""
"failed","Sat Dec 23 20:31:52 GMT 2023","Sat Dec 23 20:31:56 GMT 2023","4636","","Website Navigation","","","","Check Body section is loaded correctly",""
"passed","Sat Dec 23 20:31:43 GMT 2023","Sat Dec 23 20:31:47 GMT 2023","4640","","Website Navigation","","","","Check Footer section is loaded correctly",""
"failed","Sat Dec 23 20:30:29 GMT 2023","Sat Dec 23 20:31:42 GMT 2023","73345","","Website Navigation","","","","Verify Home Menu Navigation Item and Components",""
"failed","Sat Dec 23 20:38:13 GMT 2023","Sat Dec 23 20:39:29 GMT 2023","75250","","Weather Shopper Website","","","","No Shopping Action Required in Moderate Weather",""
