"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Dec 23 20:31:09 GMT 2023","Sat Dec 23 20:32:31 GMT 2023","81566","","Weather Shopper Website","","","","Shopping for Moisturizers in Cold Weather",""
"failed","Sat Dec 23 20:29:29 GMT 2023","Sat Dec 23 20:29:39 GMT 2023","10193","","Website Navigation","","","","Check Body section is loaded correctly",""
"passed","Sat Dec 23 20:29:12 GMT 2023","Sat Dec 23 20:29:21 GMT 2023","8829","","Website Navigation","","","","Check Footer section is loaded correctly",""
"passed","Sat Dec 23 20:28:42 GMT 2023","Sat Dec 23 20:29:12 GMT 2023","29790","","Website Navigation","","","","Verify Home Menu Navigation Item and Components",""
"failed","Sat Dec 23 20:36:33 GMT 2023","Sat Dec 23 20:37:54 GMT 2023","80455","","Weather Shopper Website","","","","No Shopping Action Required in Moderate Weather",""
"failed","Sat Dec 23 20:33:51 GMT 2023","Sat Dec 23 20:35:11 GMT 2023","80457","","Weather Shopper Website","","","","Shopping for Sunscreens in Hot Weather",""
