"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Aug 12 06:12:17 GMT 2024","Mon Aug 12 06:13:28 GMT 2024","70713","","Weather Shopper Website","","","","Shopping for Sunscreens in Hot Weather",""
"failed","Mon Aug 12 06:03:58 GMT 2024","Mon Aug 12 06:05:20 GMT 2024","82851","","Weather Shopper Website","","","","Shopping for Moisturizers in Cold Weather",""
"failed","Mon Aug 12 06:20:24 GMT 2024","Mon Aug 12 06:21:48 GMT 2024","83668","","Weather Shopper Website","","","","No Shopping Action Required in Moderate Weather",""
"failed","Mon Aug 12 05:53:45 GMT 2024","Mon Aug 12 05:54:51 GMT 2024","65423","","Website Navigation","","","","Check Footer section is loaded correctly",""
"failed","Mon Aug 12 05:55:22 GMT 2024","Mon Aug 12 05:55:27 GMT 2024","5553","","Website Navigation","","","","Check Body section is loaded correctly",""
"failed","Mon Aug 12 05:47:03 GMT 2024","Mon Aug 12 05:48:17 GMT 2024","74057","","Website Navigation","","","","Verify Home Menu Navigation Item and Components",""
