"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon May 13 06:14:05 GMT 2024","Mon May 13 06:15:13 GMT 2024","68436","","Weather Shopper Website","","","","No Shopping Action Required in Moderate Weather",""
"failed","Mon May 13 05:57:27 GMT 2024","Mon May 13 05:58:49 GMT 2024","81981","","Weather Shopper Website","","","","Shopping for Moisturizers in Cold Weather",""
"failed","Mon May 13 05:40:39 GMT 2024","Mon May 13 05:41:51 GMT 2024","72380","","Website Navigation","","","","Verify Home Menu Navigation Item and Components",""
"failed","Mon May 13 06:05:44 GMT 2024","Mon May 13 06:07:07 GMT 2024","83008","","Weather Shopper Website","","","","Shopping for Sunscreens in Hot Weather",""
"failed","Mon May 13 05:47:18 GMT 2024","Mon May 13 05:48:23 GMT 2024","64991","","Website Navigation","","","","Check Footer section is loaded correctly",""
"failed","Mon May 13 05:48:52 GMT 2024","Mon May 13 05:48:57 GMT 2024","5612","","Website Navigation","","","","Check Body section is loaded correctly",""
