"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","75360","Shopping for Sunscreens in Hot Weather","","Mon May 12 06:16:34 GMT 2025","failed","Mon May 12 06:17:49 GMT 2025","","Weather Shopper Website","",""
"","65267","No Shopping Action Required in Moderate Weather","","Mon May 12 06:24:19 GMT 2025","failed","Mon May 12 06:25:24 GMT 2025","","Weather Shopper Website","",""
"","73702","Verify Home Menu Navigation Item and Components","","Mon May 12 05:52:15 GMT 2025","failed","Mon May 12 05:53:28 GMT 2025","","Website Navigation","",""
"","7913","Check Body section is loaded correctly","","Mon May 12 06:00:38 GMT 2025","failed","Mon May 12 06:00:45 GMT 2025","","Website Navigation","",""
"","65643","Check Footer section is loaded correctly","","Mon May 12 05:58:57 GMT 2025","failed","Mon May 12 06:00:03 GMT 2025","","Website Navigation","",""
"","77000","Shopping for Moisturizers in Cold Weather","","Mon May 12 06:08:47 GMT 2025","failed","Mon May 12 06:10:04 GMT 2025","","Weather Shopper Website","",""
