"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Aug 26 06:18:23 GMT 2024","Mon Aug 26 06:19:29 GMT 2024","66324","","Weather Shopper Website","","","","No Shopping Action Required in Moderate Weather",""
"failed","Mon Aug 26 05:54:19 GMT 2024","Mon Aug 26 05:54:25 GMT 2024","5903","","Website Navigation","","","","Check Body section is loaded correctly",""
"failed","Mon Aug 26 05:52:44 GMT 2024","Mon Aug 26 05:53:50 GMT 2024","65422","","Website Navigation","","","","Check Footer section is loaded correctly",""
"failed","Mon Aug 26 06:02:37 GMT 2024","Mon Aug 26 06:03:54 GMT 2024","77843","","Weather Shopper Website","","","","Shopping for Moisturizers in Cold Weather",""
"failed","Mon Aug 26 06:10:29 GMT 2024","Mon Aug 26 06:11:48 GMT 2024","78893","","Weather Shopper Website","","","","Shopping for Sunscreens in Hot Weather",""
"failed","Mon Aug 26 05:46:04 GMT 2024","Mon Aug 26 05:47:17 GMT 2024","73047","","Website Navigation","","","","Verify Home Menu Navigation Item and Components",""
