"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Apr 08 06:09:38 GMT 2024","Mon Apr 08 06:10:54 GMT 2024","75958","","Weather Shopper Website","","","","No Shopping Action Required in Moderate Weather",""
"failed","Mon Apr 08 05:45:08 GMT 2024","Mon Apr 08 05:46:13 GMT 2024","64869","","Website Navigation","","","","Check Footer section is loaded correctly",""
"failed","Mon Apr 08 05:54:07 GMT 2024","Mon Apr 08 05:55:25 GMT 2024","77759","","Weather Shopper Website","","","","Shopping for Moisturizers in Cold Weather",""
"failed","Mon Apr 08 05:38:31 GMT 2024","Mon Apr 08 05:39:43 GMT 2024","71936","","Website Navigation","","","","Verify Home Menu Navigation Item and Components",""
"failed","Mon Apr 08 06:01:55 GMT 2024","Mon Apr 08 06:03:12 GMT 2024","76834","","Weather Shopper Website","","","","Shopping for Sunscreens in Hot Weather",""
"failed","Mon Apr 08 05:46:13 GMT 2024","Mon Apr 08 05:46:18 GMT 2024","5343","","Website Navigation","","","","Check Body section is loaded correctly",""
