"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jun 24 06:10:38 GMT 2024","Mon Jun 24 06:11:54 GMT 2024","76247","","Weather Shopper Website","","","","No Shopping Action Required in Moderate Weather",""
"failed","Mon Jun 24 06:03:02 GMT 2024","Mon Jun 24 06:04:18 GMT 2024","75764","","Weather Shopper Website","","","","Shopping for Sunscreens in Hot Weather",""
"failed","Mon Jun 24 05:47:19 GMT 2024","Mon Jun 24 05:47:25 GMT 2024","6255","","Website Navigation","","","","Check Body section is loaded correctly",""
"failed","Mon Jun 24 05:55:27 GMT 2024","Mon Jun 24 05:56:42 GMT 2024","75608","","Weather Shopper Website","","","","Shopping for Moisturizers in Cold Weather",""
"failed","Mon Jun 24 05:39:02 GMT 2024","Mon Jun 24 05:40:15 GMT 2024","72730","","Website Navigation","","","","Verify Home Menu Navigation Item and Components",""
"failed","Mon Jun 24 05:45:43 GMT 2024","Mon Jun 24 05:46:48 GMT 2024","65158","","Website Navigation","","","","Check Footer section is loaded correctly",""
