"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","76141","Shopping for Sunscreens in Hot Weather","","Mon Dec 09 06:15:26 GMT 2024","failed","Mon Dec 09 06:16:42 GMT 2024","","Weather Shopper Website","",""
"","72831","Verify Home Menu Navigation Item and Components","","Mon Dec 09 05:51:08 GMT 2024","failed","Mon Dec 09 05:52:21 GMT 2024","","Website Navigation","",""
"","6086","Check Body section is loaded correctly","","Mon Dec 09 05:59:26 GMT 2024","failed","Mon Dec 09 05:59:32 GMT 2024","","Website Navigation","",""
"","78817","Shopping for Moisturizers in Cold Weather","","Mon Dec 09 06:07:41 GMT 2024","failed","Mon Dec 09 06:09:00 GMT 2024","","Weather Shopper Website","",""
"","78555","No Shopping Action Required in Moderate Weather","","Mon Dec 09 06:23:17 GMT 2024","failed","Mon Dec 09 06:24:35 GMT 2024","","Weather Shopper Website","",""
"","65246","Check Footer section is loaded correctly","","Mon Dec 09 05:57:49 GMT 2024","failed","Mon Dec 09 05:58:54 GMT 2024","","Website Navigation","",""
