"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 23 20:52:51 GMT 2023","Sat Dec 23 20:52:57 GMT 2023","6273","","Website Navigation","","","","Check Footer section is loaded correctly",""
"failed","Sat Dec 23 21:03:02 GMT 2023","Sat Dec 23 21:04:24 GMT 2023","81914","","Weather Shopper Website","","","","No Shopping Action Required in Moderate Weather",""
"passed","Sat Dec 23 20:52:19 GMT 2023","Sat Dec 23 20:52:51 GMT 2023","32033","","Website Navigation","","","","Verify Home Menu Navigation Item and Components",""
"failed","Sat Dec 23 20:59:21 GMT 2023","Sat Dec 23 21:00:41 GMT 2023","80285","","Weather Shopper Website","","","","Shopping for Sunscreens in Hot Weather",""
"failed","Sat Dec 23 20:55:51 GMT 2023","Sat Dec 23 20:57:01 GMT 2023","69721","","Weather Shopper Website","","","","Shopping for Moisturizers in Cold Weather",""
"failed","Sat Dec 23 20:53:08 GMT 2023","Sat Dec 23 20:53:14 GMT 2023","5700","","Website Navigation","","","","Check Body section is loaded correctly",""
