"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 22 06:15:31 GMT 2024","Mon Jul 22 06:16:53 GMT 2024","82662","","Weather Shopper Website","","","","No Shopping Action Required in Moderate Weather",""
"failed","Mon Jul 22 05:42:09 GMT 2024","Mon Jul 22 05:43:23 GMT 2024","73991","","Website Navigation","","","","Verify Home Menu Navigation Item and Components",""
"failed","Mon Jul 22 05:58:53 GMT 2024","Mon Jul 22 06:00:16 GMT 2024","83086","","Weather Shopper Website","","","","Shopping for Moisturizers in Cold Weather",""
"failed","Mon Jul 22 05:50:26 GMT 2024","Mon Jul 22 05:50:32 GMT 2024","5902","","Website Navigation","","","","Check Body section is loaded correctly",""
"failed","Mon Jul 22 06:07:11 GMT 2024","Mon Jul 22 06:08:33 GMT 2024","82754","","Weather Shopper Website","","","","Shopping for Sunscreens in Hot Weather",""
"failed","Mon Jul 22 05:48:51 GMT 2024","Mon Jul 22 05:49:57 GMT 2024","65480","","Website Navigation","","","","Check Footer section is loaded correctly",""
