"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Oct 21 06:05:25 GMT 2024","Mon Oct 21 06:06:31 GMT 2024","65545","","Weather Shopper Website","","","","Shopping for Moisturizers in Cold Weather",""
"failed","Mon Oct 21 05:57:16 GMT 2024","Mon Oct 21 05:57:23 GMT 2024","6913","","Website Navigation","","","","Check Body section is loaded correctly",""
"failed","Mon Oct 21 06:20:26 GMT 2024","Mon Oct 21 06:21:43 GMT 2024","76485","","Weather Shopper Website","","","","No Shopping Action Required in Moderate Weather",""
"failed","Mon Oct 21 05:55:40 GMT 2024","Mon Oct 21 05:56:45 GMT 2024","65038","","Website Navigation","","","","Check Footer section is loaded correctly",""
"failed","Mon Oct 21 05:48:59 GMT 2024","Mon Oct 21 05:50:13 GMT 2024","73411","","Website Navigation","","","","Verify Home Menu Navigation Item and Components",""
"failed","Mon Oct 21 06:12:51 GMT 2024","Mon Oct 21 06:14:05 GMT 2024","74075","","Weather Shopper Website","","","","Shopping for Sunscreens in Hot Weather",""
