"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Oct 07 06:13:40 GMT 2024","Mon Oct 07 06:14:56 GMT 2024","76500","","Weather Shopper Website","","","","Shopping for Sunscreens in Hot Weather",""
"failed","Mon Oct 07 06:06:13 GMT 2024","Mon Oct 07 06:07:30 GMT 2024","76834","","Weather Shopper Website","","","","Shopping for Moisturizers in Cold Weather",""
"failed","Mon Oct 07 06:21:15 GMT 2024","Mon Oct 07 06:22:31 GMT 2024","75687","","Weather Shopper Website","","","","No Shopping Action Required in Moderate Weather",""
"failed","Mon Oct 07 05:56:34 GMT 2024","Mon Oct 07 05:57:39 GMT 2024","65338","","Website Navigation","","","","Check Footer section is loaded correctly",""
"failed","Mon Oct 07 05:58:12 GMT 2024","Mon Oct 07 05:58:20 GMT 2024","7305","","Website Navigation","","","","Check Body section is loaded correctly",""
"failed","Mon Oct 07 05:49:53 GMT 2024","Mon Oct 07 05:51:07 GMT 2024","73279","","Website Navigation","","","","Verify Home Menu Navigation Item and Components",""
